"Site","SC.Category","SC.Level","Sample.Date","Sample.Month","Fraction","Replicate","Genus","Length","Abundance","Biomass"
"EAS","REF","25","9/19/23","September","> 1",1,"Alloperla",3,1,0.01236146625
"EAS","REF","25","9/19/23","September","> 1",1,"Antocha",5,1,0.20940963
"EAS","REF","25","9/19/23","September","> 1",1,"Cernotina",4,2,0.1437608
"EAS","REF","25","9/19/23","September","> 1",1,"Cernotina",5,2,0.179701
"EAS","REF","25","9/19/23","September","> 1",1,"Cernotina",8,1,0.1437608
"EAS","REF","25","9/19/23","September","> 1",1,"Chironomini",6,2,0.277479259
"EAS","REF","25","9/19/23","September","> 1",1,"Ectopria",1,1,0.0164
"EAS","REF","25","9/19/23","September","> 1",1,"Gomphus",7,1,1.92105126
"EAS","REF","25","9/19/23","September","> 1",1,"Isoperla",4,1,0.398359755
"EAS","REF","25","9/19/23","September","> 1",1,"Paracapnia",1,1,0.004
"EAS","REF","25","9/19/23","September","> 1",1,"Paracapnia",2,3,0.067273318
"EAS","REF","25","9/19/23","September","> 1",1,"Paraleptophlebia",3,2,0.01875225126
"EAS","REF","25","9/19/23","September","> 1",1,"Rhagovelia",3,3,0.526217239
"EAS","REF","25","9/19/23","September","> 1",1,"Stenelmis",2,4,2.494294099
"EAS","REF","25","9/19/23","September","> 1",1,"Stenelmis",3,1,1.711413301
"EAS","REF","25","9/19/23","September","> 1",1,"Stenonema",5,1,0.86241341
"EAS","REF","25","9/19/23","September","> 1",1,"Tanypodinae",5,1,0.003803671
"EAS","REF","25","9/19/23","September","> 1",1,"Triacanthagyna",3,1,0.180283484
"EAS","REF","25","9/19/23","September","> 1",2,"Acroneuria",2,1,0.0017851822
"EAS","REF","25","9/19/23","September","> 1",2,"Alloperla",2,1,0.00409635322
"EAS","REF","25","9/19/23","September","> 1",2,"Antocha",4,1,0.121383113
"EAS","REF","25","9/19/23","September","> 1",2,"Cernotina",3,1,0.0539103
"EAS","REF","25","9/19/23","September","> 1",2,"Cheumatopsyche",3,4,0.354280314
"EAS","REF","25","9/19/23","September","> 1",2,"Cheumatopsyche",4,1,0.188202991
"EAS","REF","25","9/19/23","September","> 1",2,"Cheumatopsyche",6,1,0.544484622
"EAS","REF","25","9/19/23","September","> 1",2,"Orthocladine",3,1,0.012582795
"EAS","REF","25","9/19/23","September","> 1",2,"Orthocladine",5,2,0.103592463
"EAS","REF","25","9/19/23","September","> 1",2,"Orthocladine",6,2,0.171656483
"EAS","REF","25","9/19/23","September","> 1",2,"Orthocladine",7,1,0.131544538
"EAS","REF","25","9/19/23","September","> 1",2,"Cyrnellus",8,1,1.370815814
"EAS","REF","25","9/19/23","September","> 1",2,"Hexatoma",6,1,0.439875665
"EAS","REF","25","9/19/23","September","> 1",2,"Hexatoma",10,1,1.656720669
"EAS","REF","25","9/19/23","September","> 1",2,"Hexatoma",12,1,2.659523334
"EAS","REF","25","9/19/23","September","> 1",2,"Hydropsyche",4,2,0.511466964
"EAS","REF","25","9/19/23","September","> 1",2,"Hydropsyche",5,1,0.48024347
"EAS","REF","25","9/19/23","September","> 1",2,"Paraleptophlebia",3,1,0.00937612563
"EAS","REF","25","9/19/23","September","> 1",2,"Probezzia",7,1,0.3467276304
"EAS","REF","25","9/19/23","September","> 1",2,"Rhagovelia",3,7,1.227840224
"EAS","REF","25","9/19/23","September","> 1",2,"Stenelmis",2,4,2.494294099
"EAS","REF","25","9/19/23","September","> 1",2,"Stenelmis",3,1,1.711413301
"EAS","REF","25","9/19/23","September","> 1",2,"Stenonema",5,1,0.86241341
"EAS","REF","25","9/19/23","September","> 1",2,"Tanytarsini",3,1,0.016020526
"EAS","REF","25","9/19/23","September","> 1",2,"Tanytarsini",4,3,0.105349117
"EAS","REF","25","9/19/23","September","> 1",2,"Tanytarsini",5,2,0.129095218
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",2,1,0.0017851822
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",3,9,0.05957334768
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",4,2,0.03354605762
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",5,1,0.03450044168
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",19,1,2.580389341
"EAS","REF","25","9/19/23","September","> 1",3,"Alloperla",3,5,0.06180733123
"EAS","REF","25","9/19/23","September","> 1",3,"Alloperla",4,2,0.05412938609
"EAS","REF","25","9/19/23","September","> 1",3,"Alloperla",6,1,0.08167247103
"EAS","REF","25","9/19/23","September","> 1",3,"Baetis",3,1,0.146132525
"EAS","REF","25","9/19/23","September","> 1",3,"Baetis",4,5,1.584626934
"EAS","REF","25","9/19/23","September","> 1",3,"Baetis",5,1,0.577752554
"EAS","REF","25","9/19/23","September","> 1",3,"Paracapnia",1,4,0.016
"EAS","REF","25","9/19/23","September","> 1",3,"Paracapnia",2,14,0.313942149
"EAS","REF","25","9/19/23","September","> 1",3,"Chironomini",3,1,0.017929162
"EAS","REF","25","9/19/23","September","> 1",3,"Chironomini",7,1,0.21868926
"EAS","REF","25","9/19/23","September","> 1",3,"Cyrnellus",2,5,0.205180117
"EAS","REF","25","9/19/23","September","> 1",3,"Cyrnellus",3,6,0.687073969
"EAS","REF","25","9/19/23","September","> 1",3,"Cyrnellus",4,1,0.23717679
