"Site","SC.Category","SC.Level","Sample.Date","Sample.Month","Fraction","Replicate","Genus","Length","Abundance","Biomass","Density","Biomass.Area.Corrected"
"EAS","REF","25","9/19/23","September","> 1",1,"Alloperla",3,1,0.1236146625,10.7642626480086,1.33062069429494
"EAS","REF","25","9/19/23","September","> 1",1,"Antocha",5,1,0.20940963,10.7642626480086,2.2541402583423
"EAS","REF","25","9/19/23","September","> 1",1,"Cernotina",4,2,0.1437608,21.5285252960172,3.09495801937567
"EAS","REF","25","9/19/23","September","> 1",1,"Cernotina",5,2,0.179701,21.5285252960172,3.86869752421959
"EAS","REF","25","9/19/23","September","> 1",1,"Cernotina",8,1,0.1437608,10.7642626480086,1.54747900968784
"EAS","REF","25","9/19/23","September","> 1",1,"Chironomini",6,2,0.277479259,21.5285252960172,5.97371924650161
"EAS","REF","25","9/19/23","September","> 1",1,"Ectopria",1,1,0.0164,10.7642626480086,0.176533907427341
"EAS","REF","25","9/19/23","September","> 1",1,"Gomphus",7,1,1.92105126,10.7642626480086,20.6787003229279
"EAS","REF","25","9/19/23","September","> 1",1,"Isoperla",4,1,0.398359755,10.7642626480086,4.28804903121636
"EAS","REF","25","9/19/23","September","> 1",1,"Paracapnia",1,1,0.004,10.7642626480086,0.0430570505920344
"EAS","REF","25","9/19/23","September","> 1",1,"Paracapnia",2,3,0.067273318,32.2927879440258,2.17244299246502
"EAS","REF","25","9/19/23","September","> 1",1,"Paraleptophlebia",3,2,0.1875225126,21.5285252960172,4.03708315608181
"EAS","REF","25","9/19/23","September","> 1",1,"Rhagovelia",3,3,0.526217239,32.2927879440258,16.9930217115178
"EAS","REF","25","9/19/23","September","> 1",1,"Stenelmis",2,4,2.494294099,43.0570505920345,107.396947212056
"EAS","REF","25","9/19/23","September","> 1",1,"Stenelmis",3,1,1.711413301,10.7642626480086,18.4221022712594
"EAS","REF","25","9/19/23","September","> 1",1,"Stenonema",5,1,0.86241341,10.7642626480086,9.28324445640474
"EAS","REF","25","9/19/23","September","> 1",1,"Tanypodinae",5,1,0.003803671,10.7642626480086,0.0409437136706136
"EAS","REF","25","9/19/23","September","> 1",1,"Triacanthagyna",3,1,0.180283484,10.7642626480086,1.94061877287406
"EAS","REF","25","9/19/23","September","> 1",2,"Acroneuria",2,1,0.017851822,10.7642626480086,0.192161700753498
"EAS","REF","25","9/19/23","September","> 1",2,"Alloperla",2,1,0.0409635322,10.7642626480086,0.440942219590958
"EAS","REF","25","9/19/23","September","> 1",2,"Antocha",4,1,0.121383113,10.7642626480086,1.30659970936491
"EAS","REF","25","9/19/23","September","> 1",2,"Cernotina",3,1,0.0539103,10.7642626480086,0.580304628632939
"EAS","REF","25","9/19/23","September","> 1",2,"Cheumatopsyche",3,4,0.354280314,43.0570505920345,15.2542654036599
"EAS","REF","25","9/19/23","September","> 1",2,"Cheumatopsyche",4,1,0.188202991,10.7642626480086,2.0258664262648
"EAS","REF","25","9/19/23","September","> 1",2,"Cheumatopsyche",6,1,0.544484622,10.7642626480086,5.86097547900969
"EAS","REF","25","9/19/23","September","> 1",2,"Orthocladine",3,1,0.012582795,10.7642626480086,0.13544451022605
"EAS","REF","25","9/19/23","September","> 1",2,"Orthocladine",5,2,0.103592463,21.5285252960172,2.23019296017223
"EAS","REF","25","9/19/23","September","> 1",2,"Orthocladine",6,2,0.171656483,21.5285252960172,3.69551093649085
"EAS","REF","25","9/19/23","September","> 1",2,"Orthocladine",7,1,0.131544538,10.7642626480086,1.41597995694295
"EAS","REF","25","9/19/23","September","> 1",2,"Cyrnellus",8,1,1.370815814,10.7642626480086,14.7558214639397
"EAS","REF","25","9/19/23","September","> 1",2,"Hexatoma",6,1,0.439875665,10.7642626480086,4.73493719052745
"EAS","REF","25","9/19/23","September","> 1",2,"Hexatoma",10,1,1.656720669,10.7642626480086,17.8333764155005
"EAS","REF","25","9/19/23","September","> 1",2,"Hexatoma",12,1,2.659523334,10.7642626480086,28.6278076856835
"EAS","REF","25","9/19/23","September","> 1",2,"Hydropsyche",4,2,0.511466964,21.5285252960172,11.0111294725511
"EAS","REF","25","9/19/23","September","> 1",2,"Hydropsyche",5,1,0.48024347,10.7642626480086,5.16946684607105
"EAS","REF","25","9/19/23","September","> 1",2,"Paraleptophlebia",3,1,0.0937612563,10.7642626480086,1.00927078902045
"EAS","REF","25","9/19/23","September","> 1",2,"Probezzia",7,1,0.3467276304,10.7642626480086,3.73226728094726
"EAS","REF","25","9/19/23","September","> 1",2,"Rhagovelia",3,7,1.227840224,75.3498385360603,92.5175626264801
"EAS","REF","25","9/19/23","September","> 1",2,"Stenelmis",2,4,2.494294099,43.0570505920345,107.396947212056
"EAS","REF","25","9/19/23","September","> 1",2,"Stenelmis",3,1,1.711413301,10.7642626480086,18.4221022712594
"EAS","REF","25","9/19/23","September","> 1",2,"Stenonema",5,1,0.86241341,10.7642626480086,9.28324445640474
"EAS","REF","25","9/19/23","September","> 1",2,"Tanytarsini",3,1,0.016020526,10.7642626480086,0.172449149623251
"EAS","REF","25","9/19/23","September","> 1",2,"Tanytarsini",4,3,0.105349117,32.2927879440258,3.40201669537137
"EAS","REF","25","9/19/23","September","> 1",2,"Tanytarsini",5,2,0.129095218,21.5285252960172,2.77922966630786
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",2,1,0.017851822,10.7642626480086,0.192161700753498
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",3,9,0.5957334768,96.8783638320775,57.7136845123789
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",4,2,0.3354605762,21.5285252960172,7.22197150053821
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",5,1,0.3450044168,10.7642626480086,3.71371815715823
"EAS","REF","25","9/19/23","September","> 1",3,"Acroneuria",19,1,25.80389341,10.7642626480086,277.759886006459
"EAS","REF","25","9/19/23","September","> 1",3,"Alloperla",3,5,0.6180733123,53.8213132400431,33.2655173466093
"EAS","REF","25","9/19/23","September","> 1",3,"Alloperla",4,2,0.5412938609,21.5285252960172,11.6532585769645
"EAS","REF","25","9/19/23","September","> 1",3,"Alloperla",6,1,0.8167247103,10.7642626480086,8.79143929278794
"EAS","REF","25","9/19/23","September","> 1",3,"Baetis",3,1,0.146132525,10.7642626480086,1.57300888051668
"EAS","REF","25","9/19/23","September","> 1",3,"Baetis",4,5,1.584626934,53.8213132400431,85.286702583423
"EAS","REF","25","9/19/23","September","> 1",3,"Baetis",5,1,0.577752554,10.7642626480086,6.21908023681378
"EAS","REF","25","9/19/23","September","> 1",3,"Paracapnia",1,4,0.016,43.0570505920345,0.688912809472551
"EAS","REF","25","9/19/23","September","> 1",3,"Paracapnia",2,14,0.313942149,150.699677072121,47.3109804736276
"EAS","REF","25","9/19/23","September","> 1",3,"Chironomini",3,1,0.017929162,10.7642626480086,0.192994208826695
"EAS","REF","25","9/19/23","September","> 1",3,"Chironomini",7,1,0.21868926,10.7642626480086,2.35402863293864
"EAS","REF","25","9/19/23","September","> 1",3,"Cyrnellus",2,5,0.205180117,53.8213132400431,11.0430633476857
"EAS","REF","25","9/19/23","September","> 1",3,"Cyrnellus",3,6,0.687073969,64.5855758880517,44.3750679655544
"EAS","REF","25","9/19/23","September","> 1",3,"Cyrnellus",4,1,0.23717679,10.7642626480086,2.55303326157158
"EAS","REF","25","9/19/23","September","> 1",3,"Dicranota",6,1,0.304332695,10.7642626480086,3.2759170613563
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",2,5,0.150613768,53.8213132400431,8.10623078579117
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",3,16,1.394356258,172.228202368138,240.147471776103
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",4,6,1.111077896,64.5855758880517,71.7596057696448
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",5,6,1.993649195,64.5855758880517,128.760981377826
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",6,3,1.607213645,32.2927879440258,51.9014094187298
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",7,2,1.604659681,21.5285252960172,34.5459565339074
"EAS","REF","25","9/19/23","September","> 1",3,"Diplectrona",8,1,1.138392028,10.7642626480086,12.2539507857912
"EAS","REF","25","9/19/23","September","> 1",3,"Ectopria",2,1,0.124899502,10.7642626480086,1.34445104413348
"EAS","REF","25","9/19/23","September","> 1",3,"Ectopria",3,3,1.228720935,32.2927879440258,39.6788245963401
"EAS","REF","25","9/19/23","September","> 1",3,"Ectopria",4,1,0.95121253,10.7642626480086,10.2391015069968
"EAS","REF","25","9/19/23","September","> 1",3,"Ectopria",6,2,6.238480991,21.5285252960172,134.305295823466
"EAS","REF","25","9/19/23","September","> 1",3,"Ectopria",7,1,4.899322266,10.7642626480086,52.7375916684607
"EAS","REF","25","9/19/23","September","> 1",3,"Ephemera",4,1,0.093337785,10.7642626480086,1.00471243272336
"EAS","REF","25","9/19/23","September","> 1",3,"Ephemera",5,2,0.343819253,21.5285252960172,7.40192148546825
"EAS","REF","25","9/19/23","September","> 1",3,"Eurylophella",2,2,0.101335791,21.5285252960172,2.18161013993541
"EAS","REF","25","9/19/23","September","> 1",3,"Glossosoma",5,1,0.960313866,10.7642626480086,10.3370706781485
"EAS","REF","25","9/19/23","September","> 1",3,"Hexatoma",9,2,2.520535628,21.5285252960172,54.2634150269107
"EAS","REF","25","9/19/23","September","> 1",3,"Hexatoma",12,1,2.659523334,10.7642626480086,28.6278076856835
"EAS","REF","25","9/19/23","September","> 1",3,"Hydropsyche",4,1,0.255733482,10.7642626480086,2.75278236813778
"EAS","REF","25","9/19/23","September","> 1",3,"Hydropsyche",5,3,1.44073041,32.2927879440258,46.5252016146394
"EAS","REF","25","9/19/23","September","> 1",3,"Hydropsyche",7,3,3.726046718,32.2927879440258,120.324436533907
"EAS","REF","25","9/19/23","September","> 1",3,"Hydropsyche",8,1,1.810907633,10.7642626480086,19.4930853928956
"EAS","REF","25","9/19/23","September","> 1",3,"Leuctra",3,1,0.057874322,10.7642626480086,0.622974402583423
"EAS","REF","25","9/19/23","September","> 1",3,"Orthocladine",3,1,0.023793663,10.7642626480086,0.256121237890205
