"Site","SC.Category","SC.Level","Sample.Date","Sample.Month","Fraction","Replicate","Genus","Length","Abundance","Biomass"
"EAS","REF","25","9/19/23","September","> 1",1,"Alloperla",3,1,0.1236146625
"EAS","REF","25","9/19/23","September","> 1",1,"Antocha",5,1,0.20940963
"EAS","REF","25","9/19/23","September","> 1",1,"Cernotina",4,2,0.1437608
"EAS","REF","25","9/19/23","September","> 1",1,"Cernotina",5,2,0.179701
"EAS","REF","25","9/19/23","September","> 1",1,"Cernotina",8,1,0.1437608
"EAS","REF","25","9/19/23","September","> 1",1,"Chironomini",6,2,0.277479259
"EAS","REF","25","9/19/23","September","> 1",1,"Ectopria",1,1,0.0164
"EAS","REF","25","9/19/23","September","> 1",1,"Gomphus",7,1,1.92105126
"EAS","REF","25","9/19/23","September","> 1",1,"Isoperla",4,1,0.398359755
"EAS","REF","25","9/19/23","September","> 1",1,"Paracapnia",1,1,0.004
"EAS","REF","25","9/19/23","September","> 1",1,"Paracapnia",2,3,0.067273318
"EAS","REF","25","9/19/23","September","> 1",1,"Paraleptophlebia",3,2,0.1875225126
"EAS","REF","25","9/19/23","September","> 1",1,"Pupa",2,1,0.00768
"EAS","REF","25","9/19/23","September","> 1",1,"Pupa",3,1,0.02592
"EAS","REF","25","9/19/23","September","> 1",1,"Rhagovelia",3,3,0.526217239
"EAS","REF","25","9/19/23","September","> 1",1,"Stenelmis (A)",1,1,0.73283
"EAS","REF","25","9/19/23","September","> 1",1,"Stenelmis",2,4,2.494294099
"EAS","REF","25","9/19/23","September","> 1",1,"Stenelmis",3,1,1.711413301
"EAS","REF","25","9/19/23","September","> 1",1,"Stenonema",5,1,0.86241341
"EAS","REF","25","9/19/23","September","> 1",1,"Tanypodinae",5,1,0.003803671
"EAS","REF","25","9/19/23","September","> 1",1,"Triacanthagyna",3,1,0.180283484
"EAS","REF","25","9/19/23","September","> 1",2,"Acroneuria",2,1,0.017851822
"EAS","REF","25","9/19/23","September","> 1",2,"Alloperla",2,1,0.0409635322
"EAS","REF","25","9/19/23","September","> 1",2,"Antocha",4,1,0.121383113
"EAS","REF","25","9/19/23","September","> 1",2,"Cernotina",3,1,0.0539103
"EAS","REF","25","9/19/23","September","> 1",2,"Cheumatopsyche",3,4,0.354280314
"EAS","REF","25","9/19/23","September","> 1",2,"Cheumatopsyche",4,1,0.188202991
