"Site","SC.Category","SC.Level","Sample.Date","Fraction","Replicate","Order","Family","Genus","Abundance","Density","Biomass","Biomass.Area.Corrected"
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Baetidae","Acerpenna",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Perlidae","Acroneuria",2,21.5285253,0.357036439,7.68646801003341
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Adult","Adult",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Adult","Adult",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Adult","Adult",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Stratiomyidae","Allognasta",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Chloroperlidae","Alloperla",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Limoniidae","Antocha",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Athericidae","Atherix",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Baetidae","Baetis",2,21.5285253,2.372469863,51.075777469083
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Baetiscidae","Baetisca",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Odonata","Aeshnidae","Boyeria",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Capniidae","Capniidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Polycentropodidae","Cernotina",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Empididae","Chelifera",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Hydropsychidae","Cheumatopsyche",1,10.76426265,0.337699762,3.63508893501049
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Chironomidae","Chironomidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Chironomidae","Chironomini",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Hexapoda","Collembola","Collembola",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Polycentropodidae","Cyrnellus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Pediciidae","Dicranota",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Hydropsychidae","Diplectrona",4,43.05705059,6.960192411,299.685356756561
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Dixidae","Dixa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Dixidae","Dixella",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Philopotamidae","Dolophilodes",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Psephenidae","Ectopria",1,10.76426265,0.124899502,1.3444510443822
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Ephemeridae","Ephemera",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Ephemerellidae","Eurylophella",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Glossosomatidae","Glossosoma",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Goeridae","Goera",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Odonata","Gomphidae","Gomphurus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Gyrinidae","Gyrinus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Heptageniidae","Heptageniidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Odonata","Calopterygidae","Hetaerina",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Limoniidae","Hexatoma",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Trombidiformes","Hydrachnidia","Hydrachnia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Hydropsychidae","Hydropsyche",1,10.76426265,1.242015573,13.3693818431622
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Perlodidae","Isoperla",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Lepidoptera","Crambidae","Langessa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Leptophlebiidae","Leptophlebiidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Leuctridae","Leuctra",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Leuctridae","Leuctridae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Hemiptera","Veliidae","Microvelia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Chironominae","Orthocladine",3,32.29278794,0.064586619,2.08568199112857
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Elmidae","Oulimnius(A)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Elmidae","Oulimnius(L)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Plecoptera","Capniidae","Paracapnia",3,32.29278794,0.067273318,2.17244299219418
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Leptophlebiidae","Paraleptophlebiidae",14,150.6996771,24.22413093,3650.56870917912
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Polycentropodidae","Polycentropodidae",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Polycentropodidae","Polycentropus",1,10.76426265,0.114512328,1.23264077525495
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Ceratopogonidae","Probezzia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Psephenidae","Psephenus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Trichoptera","Pupa","Pupa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Pupa","Pupa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Chironomidae","Pupa",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Hemiptera","Veliidae","Rhagovelia",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Megaloptera","Sialidae","Sialis",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Gastropoda","Lymnaidae","Stagnicola",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Elmidae","Stenelmis (A)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Coleoptera","Elmidae","Stenelmis (L)",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Ephemeroptera","Heptageniidae","Stenonema",2,21.5285253,2.306283565,49.6508840780767
"CRO","REF","72","10/21/23","> 1",1,"Odonata","Gomphidae","Stylogomphurus",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Tanypodinae","Tanypodinae",1,10.76426265,0.184077318,1.98145659885957
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Chironominae","Tanytarsini",0,0,0,0
"CRO","REF","72","10/21/23","> 1",1,"Diptera","Tipulidae","Tipula",0,0,0,0
