Site,SC Category,SC Level,Sample Date,Fraction,Replicate,Order,Family,Genus,Abundance (# individuals),Density (# individuals/m2),Biomass (g)
CRO,REF,72,10/21/23,> 1,1,Ephemeroptera,Baetidae,Acerpenna,0,0,0
CRO,REF,72,10/21/23,> 1,2,Ephemeroptera,Baetidae,Acerpenna,0,0,0
CRO,REF,72,10/21/23,> 1,3,Ephemeroptera,Baetidae,Acerpenna,0,0,0
CRO,REF,72,10/21/23,> 1,4,Ephemeroptera,Baetidae,Acerpenna,0,0,0
CRO,REF,72,10/21/23,> 1,5,Ephemeroptera,Baetidae,Acerpenna,0,0,0
CRO,REF,72,10/21/23,> 1,1,Plecoptera,Perlidae,Acroneuria,2,21.5285253,0.357036439
CRO,REF,72,10/21/23,> 1,2,Plecoptera,Perlidae,Acroneuria,0,0,0
CRO,REF,72,10/21/23,> 1,3,Plecoptera,Perlidae,Acroneuria,0,0,0
CRO,REF,72,10/21/23,> 1,4,Plecoptera,Perlidae,Acroneuria,7,75.34983854,7.473642994
CRO,REF,72,10/21/23,> 1,5,Plecoptera,Perlidae,Acroneuria,0,0,0
CRO,REF,72,10/21/23,> 1,1,Plecoptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,2,Plecoptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,3,Plecoptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,4,Plecoptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,5,Plecoptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Adult,Adult,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Stratiomyidae,Allognasta,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Stratiomyidae,Allognasta,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Stratiomyidae,Allognasta,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Stratiomyidae,Allognasta,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Stratiomyidae,Allognasta,0,0,0
CRO,REF,72,10/21/23,> 1,1,Plecoptera,Chloroperlidae,Alloperla,0,0,0
CRO,REF,72,10/21/23,> 1,2,Plecoptera,Chloroperlidae,Alloperla,0,0,0
CRO,REF,72,10/21/23,> 1,3,Plecoptera,Chloroperlidae,Alloperla,0,0,0
CRO,REF,72,10/21/23,> 1,4,Plecoptera,Chloroperlidae,Alloperla,2,21.5285253,3.116104626
CRO,REF,72,10/21/23,> 1,5,Plecoptera,Chloroperlidae,Alloperla,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Limoniidae,Antocha,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Limoniidae,Antocha,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Limoniidae,Antocha,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Limoniidae,Antocha,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Limoniidae,Antocha,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Athericidae,Atherix,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Athericidae,Atherix,0,0,0
CRO,REF,72,10/21/23,> 1,3,Diptera,Athericidae,Atherix,0,0,0
CRO,REF,72,10/21/23,> 1,4,Diptera,Athericidae,Atherix,0,0,0
CRO,REF,72,10/21/23,> 1,5,Diptera,Athericidae,Atherix,0,0,0
CRO,REF,72,10/21/23,> 1,1,Ephemeroptera,Baetidae,Baetis,2,21.5285253,2.372469863
CRO,REF,72,10/21/23,> 1,2,Ephemeroptera,Baetidae,Baetis,0,0,0
CRO,REF,72,10/21/23,> 1,3,Ephemeroptera,Baetidae,Baetis,0,0,0
CRO,REF,72,10/21/23,> 1,4,Ephemeroptera,Baetidae,Baetis,0,0,0
CRO,REF,72,10/21/23,> 1,5,Ephemeroptera,Baetidae,Baetis,0,0,0
CRO,REF,72,10/21/23,> 1,1,Ephemeroptera,Baetiscidae,Baetisca,0,0,0
CRO,REF,72,10/21/23,> 1,2,Ephemeroptera,Baetiscidae,Baetisca,0,0,0
CRO,REF,72,10/21/23,> 1,3,Ephemeroptera,Baetiscidae,Baetisca,0,0,0
CRO,REF,72,10/21/23,> 1,4,Ephemeroptera,Baetiscidae,Baetisca,0,0,0
CRO,REF,72,10/21/23,> 1,5,Ephemeroptera,Baetiscidae,Baetisca,0,0,0
CRO,REF,72,10/21/23,> 1,1,Odonata,Aeshnidae,Boyeria,0,0,0
CRO,REF,72,10/21/23,> 1,2,Odonata,Aeshnidae,Boyeria,0,0,0
CRO,REF,72,10/21/23,> 1,3,Odonata,Aeshnidae,Boyeria,0,0,0
CRO,REF,72,10/21/23,> 1,4,Odonata,Aeshnidae,Boyeria,0,0,0
CRO,REF,72,10/21/23,> 1,5,Odonata,Aeshnidae,Boyeria,0,0,0
CRO,REF,72,10/21/23,> 1,1,Plecoptera,Capniidae,Capniidae,0,0,0
CRO,REF,72,10/21/23,> 1,2,Plecoptera,Capniidae,Capniidae,0,0,0
CRO,REF,72,10/21/23,> 1,3,Plecoptera,Capniidae,Capniidae,0,0,0
CRO,REF,72,10/21/23,> 1,4,Plecoptera,Capniidae,Capniidae,0,0,0
CRO,REF,72,10/21/23,> 1,5,Plecoptera,Capniidae,Capniidae,0,0,0
CRO,REF,72,10/21/23,> 1,1,Trichoptera,Polycentropodidae,Cernotina,0,0,0
CRO,REF,72,10/21/23,> 1,2,Trichoptera,Polycentropodidae,Cernotina,0,0,0
CRO,REF,72,10/21/23,> 1,3,Trichoptera,Polycentropodidae,Cernotina,1,10.76426265,0
CRO,REF,72,10/21/23,> 1,4,Trichoptera,Polycentropodidae,Cernotina,1,10.76426265,0
CRO,REF,72,10/21/23,> 1,5,Trichoptera,Polycentropodidae,Cernotina,0,0,0
CRO,REF,72,10/21/23,> 1,1,Diptera,Empididae,Chelifera,0,0,0
CRO,REF,72,10/21/23,> 1,2,Diptera,Empididae,Chelifera,0,0,0
