Site,Sample.Month,Replicate,Algae.AFDM.g.m2.,Autotrophic.Index..g.m2.,Chl.a..g.m2.
EASÊ,February.2024,1,10.54,26073.355,0.000404244
EASÊ,February.2024,2,4.16842,0,0
EASÊ,February.2024,3,0.74791,33533.651,2.23034E-05
CRO,February.2024,1,17.42222,29895.587,0.000582769
CRO,February.2024,2,4.56876,21646.015,0.000211067
CRO,February.2024,3,2.64835,12151.185,0.00021795
HCN,February.2024,1,9.0407,7069.099,0.001278904
HCN,February.2024,2,4.93714,5629.243,0.000877053
HCN,February.2024,3,37.97362,3858.612,0.009841264
FRY,February.2024,1,54.56463,9492.109,0.005748421
FRY,February.2024,2,25.44839,10256.273,0.002481251
FRY,February.2024,3,25.80882,15231.037,0.001694489
HUR,February.2024,1,5.68185,7105.081,0.000799689
HUR,February.2024,2,1.04,0,0
HUR,February.2024,3,21.01387,30100.795,0.000698117
RUT,February.2024,1,13.07779,9431.576,0.001386596
RUT,February.2024,3,0,0,0.000501701
RIC,February.2024,1,16.98635,15390.585,0.001103685
RIC,February.2024,2,20.71908,22878.635,0.000905608
RIC,February.2024,3,33.32,12558.393,0.002653206
LLW,February.2024,1,126.29426,29843.414,0.004231897
LLW,February.2024,2,19.2,5125.748,0.003745794
LLW,February.2024,3,77.1,13395.138,0.00575582
LLC,February.2024,1,17.48571,5471.082,0.003196025
LLC,February.2024,2,10.878,77949.639,0.000139552
LLC,February.2024,3,12.43217,16451.683,0.000755678
EASÊ,May.2024,1,20.4,5215.822,0.003911176
EASÊ,May.2024,2,4.31664,4307.34,0.001002159
EASÊ,May.2024,3,3.71127,7198.906,0.000515533
CRO,May.2024,1,7.8802,9083.865,0.000867494
CRO,May.2024,2,8.424,11209.971,0.000751474
CRO,May.2024,3,10.89529,12600.635,0.000864662
HCN,May.2024,1,52.49763,6046.455,0.008682382
HCN,May.2024,2,10.42691,15909.163,0.000655403
HCN,May.2024,3,33.212,9648.569,0.003442168
FRY,May.2024,1,5.86538,6310.204,0.000929508
FRY,May.2024,2,34.43314,10218.713,0.003369616
FRY,May.2024,3,44.86095,10600.259,0.004232062
HUR,May.2024,1,20.6,11756.152,0.001752274
HUR,May.2024,2,7.44,7327.094,0.001015409
HUR,May.2024,3,11.04133,7563.195,0.001459877
RUT,May.2024,1,58.05618,22760.408,0.002550753
RUT,May.2024,2,38.87268,27259.079,0.001426045
RUT,May.2024,3,27.6048,10576.717,0.002609959
RIC,May.2024,1,31.20424,7886.788,0.00395652
RIC,May.2024,2,84.878,12920.046,0.006569481
RIC,May.2024,3,9.99771,1725.986,0.005792466
LLW,May.2024,1,29.184,5757.477,0.005068887
LLW,May.2024,2,35.1538,10545.391,0.00333357
LLW,May.2024,3,99.67418,68026.426,0.001465227
LLC,May.2024,1,142.54545,74335.378,0.001917599
LLC,May.2024,2,64.83333,36497.273,0.001776388
LLC,May.2024,3,53.73803,51426.865,0.001044941
EASÊ,August.2024,1,26.81018,14753.086,0.001817259
EASÊ,August.2024,2,22.48235,8972.033,0.002505826
EASÊ,August.2024,3,56.43378,23256.045,0.002426628
CRO,August.2024,1,10.62,11142.763,0.000953085
CRO,August.2024,2,14.0608,4804.998,0.002926286
CRO,August.2024,3,0.59733,1099.139,0.000543456
HCN,August.2024,1,5.84,6560.275,0.000890207
HCN,August.2024,2,19.41943,11065.892,0.001754891
HCN,August.2024,3,8.75,11141.221,0.000785372
FRY,August.2024,1,89.376,13277.412,0.006731432
FRY,August.2024,2,42.2,4034.343,0.010460193
FRY,August.2024,3,38.00094,23159.027,0.00164087
HUR,August.2024,1,6.1824,21292.984,0.000290349
HUR,August.2024,2,3.69,23071.712,0.000159936
HUR,August.2024,3,8.64,9459.246,0.000913392
RUT,August.2024,1,44.71467,42705.712,0.001047042
RUT,August.2024,2,28.9792,43232.373,0.000670312
RUT,August.2024,3,11.925,14476.807,0.000823731
RIC,August.2024,1,73.5,10553.118,0.006964766
RIC,August.2024,2,105.65029,29461.161,0.003586087
RIC,August.2024,3,122.44587,15340.358,0.007981943
LLW,August.2024,1,26.10526,35988.02,0.000725388
LLW,August.2024,2,66.7459,16651.581,0.004008382
LLW,August.2024,3,36.27782,86093.004,0.000421379
LLC,August.2024,1,432.30769,52884.565,0.008174553
LLC,August.2024,2,72,9251.857,0.007782221
LLC,August.2024,3,127.488,33736.546,0.003778929
