Site,Sample.Month,Replicate,CBOM.AFDM.g.m2
EASÊ,October.2023,1,12.31
EASÊ,October.2023,2,0.53
EASÊ,October.2023,3,7.3
EASÊ,October.2023,4,2.36
EAS,October.2023,5,1.61
RUT,October.2023,1,8.63
RUT,October.2023,3,3.01
RUT,October.2023,4,10.52
RUT,October.2023,5,1.23
LLW,October.2023,1,3.43
LLW,October.2023,2,5.02
LLW,October.2023,3,0.18
LLW,October.2023,4,0.36
LLW,October.2023,5,10.42
CRO,October.2023,1,22.53
CRO,October.2023,2,8.13
CRO,October.2023,3,5.59
CRO,October.2023,4,4.41
CRO,October.2023,5,0.36
LLC,October.2023,1,1.72
LLC,October.2023,2,5.76
LLC,October.2023,3,0.85
LLC,October.2023,4,26.39
LLC,October.2023,5,0.36
HCN,October.2023,1,6.21
HCN,October.2023,2,3.6
HCN,October.2023,3,1.27
HCN,October.2023,4,4.8
HCN,October.2023,5,4.25
HUR,October.2023,1,7.91
HUR,October.2023,2,1.78
HUR,October.2023,3,5.5
HUR,October.2023,4,2.08
HUR,October.2023,5,2.28
FRY,October.2023,1,6.4
FRY,October.2023,2,14.21
FRY,October.2023,3,6.99
FRY,October.2023,4,7.4
FRY,October.2023,5,4.19
RIC,October.2023,1,0.51
RIC,October.2023,2,2.92
RIC,October.2023,3,0.18
RIC,October.2023,4,0.36
RIC,October.2023,5,0.52
EASÊ,February.2024,1,0.49
EASÊ,February.2024,2,22.25
EASÊ,February.2024,3,0.52
EASÊ,February.2024,4,2.39
EAS,February.2024,5,0.85
RUT,February.2024,1,7.76
RUT,February.2024,2,0.45
RUT,February.2024,3,0
RUT,February.2024,4,16.62
RUT,February.2024,5,5.17
LLW,February.2024,1,0.51
LLW,February.2024,2,0.68
LLW,February.2024,3,2.1
LLW,February.2024,4,6.5
LLW,February.2024,5,1.08
CRO,February.2024,1,5.57
CRO,February.2024,2,0.46
CRO,February.2024,3,0.33
CRO,February.2024,4,0.5
CRO,February.2024,5,0.34
LLC,February.2024,1,0.69
LLC,February.2024,2,1.03
LLC,February.2024,3,0.66
LLC,February.2024,4,0.17
LLC,February.2024,5,0.5
HCN,February.2024,1,0.18
HCN,February.2024,2,3.05
HCN,February.2024,3,0.35
HCN,February.2024,4,0.18
HCN,February.2024,5,3.59
HUR,February.2024,1,0.83
HUR,February.2024,2,3.21
HUR,February.2024,3,1.4
HUR,February.2024,4,7.71
HUR,February.2024,5,7.19
FRY,February.2024,1,0.66
FRY,February.2024,2,3.9
FRY,February.2024,3,0.35
FRY,February.2024,4,1.01
FRY,February.2024,5,1.5
RIC,February.2024,1,2.31
RIC,February.2024,2,25.22
RIC,February.2024,3,1.02
RIC,February.2024,4,1.52
RIC,February.2024,5,0.5
EASÊ,May.2024,1,0.97
EASÊ,May.2024,2,2.32
EASÊ,May.2024,3,4.62
EASÊ,May.2024,4,11.68
EAS,May.2024,5,3.24
RUT,May.2024,1,5.47
RUT,May.2024,2,2.34
RUT,May.2024,3,18.8
RUT,May.2024,4,5.19
RUT,May.2024,5,12.94
LLW,May.2024,2,0
LLW,May.2024,3,0.15
LLW,May.2024,4,0.17
CRO,May.2024,1,13.13
CRO,May.2024,2,6.44
CRO,May.2024,3,1.88
CRO,May.2024,4,0
CRO,May.2024,5,7.14
LLC,May.2024,2,0
LLC,May.2024,3,1.03
LLC,May.2024,4,1.18
LLC,May.2024,5,0
HCN,May.2024,2,3.49
HCN,May.2024,4,6.94
HCN,May.2024,5,17.24
HUR,May.2024,2,1.94
HUR,May.2024,3,0.15
HUR,May.2024,4,18.66
HUR,May.2024,5,0.52
FRY,May.2024,1,0
FRY,May.2024,2,2.22
FRY,May.2024,3,0.93
FRY,May.2024,4,2.26
FRY,May.2024,5,14.72
RIC,May.2024,1,12.4
RIC,May.2024,2,13.41
RIC,May.2024,3,11
RIC,May.2024,4,19.8
RIC,May.2024,5,0.31
EASÊ,August.2024,1,6.41
EASÊ,August.2024,2,7.2
EASÊ,August.2024,3,4.81
EASÊ,August.2024,4,1.03
EAS,August.2024,5,0.68
RUT,August.2024,1,3.54
RUT,August.2024,2,10.17
RUT,August.2024,3,0.66
RUT,August.2024,4,12.48
RUT,August.2024,5,9.64
LLW,August.2024,2,1.97
LLW,August.2024,3,1.82
LLW,August.2024,4,0
CRO,August.2024,1,2.01
CRO,August.2024,2,2.45
CRO,August.2024,3,22.87
CRO,August.2024,4,4.84
CRO,August.2024,5,7.14
LLC,August.2024,2,21.97
LLC,August.2024,3,8.86
LLC,August.2024,4,0.65
LLC,August.2024,5,17.36
HCN,August.2024,1,1.85
HCN,August.2024,2,6.23
HCN,August.2024,3,3.65
HCN,August.2024,4,4.72
HCN,August.2024,5,5.48
HUR,August.2024,1,1.02
HUR,August.2024,2,25.7
HUR,August.2024,5,0.43
FRY,August.2024,2,4.75
FRY,August.2024,3,0.59
FRY,August.2024,4,3.42
FRY,August.2024,5,2.61
RIC,August.2024,1,7.26
RIC,August.2024,2,15.68
RIC,August.2024,3,3.93
RIC,August.2024,4,6.93
RIC,August.2024,5,30.87
,,,
,,,
,,,
,,,
,,,
