Year,Month,Sample_Type,Site,Replicate,d13C,d15N ,wt% C,wt% N
2023,October,Algae ,EAS,1,-27.59,1.89,4.84,0.59
2023,October,Algae,EAS,2,-29.27,1.9,4.84,0.53
2023,October,Algae,EAS,3,-28.27,1.09,8.41,1.01
2023,October,Algae,EAS,2,-29.28,1.99,5.12,0.57
2024,February ,Algae ,EAS,2,-25.79,-0.41,2.17,0.35
2024,February ,Algae ,EAS,3,-28.28,1.04,2.24,0.29
2024,May,Algae,EAS,1,-24.62,-0.26,1.96,0.44
2024,May,Algae,EAS,2,-24.75,1.15,1.94,0.28
2024,May,Algae,EAS,3,-26.63,-0.32,2.5,0.52
2024,August,Algae ,EAS,2,-31.31,2.07,1.5,0.22
2024,August,Algae,EAS,3,-29.32,2.05,1.29,0.23
2023,October,Algae,FRY,1,-29.73,1.41,7.96,0.87
2023,October,Algae,FRY,2,-35.71,3.41,7,1
2023,October,Algae ,FRY,3,-27.36,1.86,2.03,0.33
2024,February ,Algae ,FRY,1,-27.52,1.18,5.15,0.62
2024,February ,Algae,FRY,2,-23.42,0.79,2.92,0.48
2024,May,Algae,FRY,1,-26.89,1.36,1.12,0.15
2024,May,Algae,FRY,3,-26.7,1.59,1.74,0.34
2024,August,Algae ,FRY,1,-26.96,2.59,1.71,0.22
2024,August,Algae,FRY,2,-25.77,1.02,1.22,0.32
2024,August,Algae,FRY,3,-27.31,1.85,1.77,0.33
2023,October,Algae,RIC,2,-20.03,4.17,5.01,0.6
2023,October,Algae ,RIC,3,-20.32,4.26,6.13,0.69
2023,October,Algae ,RIC,1,-18.39,5.05,8.34,0.7
2024,February ,Algae,RIC,1,-22.01,2.98,2.45,0.29
2024,February ,Algae,RIC,2,-24.33,2.34,2.2,0.38
2024,May,Algae,RIC,1,-25.03,3.98,2.94,0.33
2024,May,Algae ,RIC,2,-21.33,4.3,2.64,0.49
2024,May,Algae,RIC,3,-21.45,6.58,2.05,0.31
2024,August,Algae,RIC,1,-23.08,2.53,1.2,0.26
2024,August,Algae,RIC,2,-20.38,0.83,0.9,0.34
2024,August,Algae ,RIC,3,-20.61,3.46,1.73,0.33
2024,August,Algae ,RIC,3,-20.62,3.75,1.88,0.37
