Year,Month,Sample_Type,Site,Replicate,d13C,d15N ,wt% C,wt% N
2023,October,CBOM,EAS,1,-29.32,-0.67,43.68,1.03
2023,October,CBOM,EAS,2,-28.87,-2.12,45.51,1.47
2023,October,CBOM,EAS,3,-29.73,-0.95,45.23,1.21
2024,February ,CBOM,EAS,1,-28.92,-2.58,43.88,0.75
2024,February ,CBOM,EAS,2,-29.69,-2.54,43.27,0.8
2024,February ,CBOM,EAS,3,-29.19,-1.47,39.97,0.72
2024,May,CBOM,EAS,1,-29.45,-1.15,35.93,1.01
2024,May,CBOM,EAS,2,-29.63,-0.93,24.04,0.81
2024,May,CBOM,EAS,3,-29.67,-1.63,37.49,1.11
2024,August,CBOM,EAS,1,-29.82,-2.53,46.1,0.92
2024,August,CBOM,EAS,2,-29.9,-2.66,46.12,0.92
2024,August,CBOM,EAS,3,-31.2,-1.74,46.39,0.71
2023,October,CBOM,FRY,1,-29.93,0.2,45.2,1.37
2023,October,CBOM,FRY,2,-28.8,0.92,43.24,1.59
2023,October,CBOM,FRY,3,-29,-0.17,46.53,1.35
2024,February ,CBOM,FRY,1,-28.64,-0.01,18.27,0.77
2024,February ,CBOM,FRY,2,-29.65,0.13,36.66,1.24
2024,February ,CBOM,FRY,3,-29.56,-0.15,40.88,1.14
2024,May,CBOM,FRY,1,-29.63,0.16,29.79,1.02
2024,May,CBOM,FRY,2,-27.16,0.91,30.76,0.84
2024,May,CBOM,FRY,3,-29.81,0.17,26.21,0.93
2024,August,CBOM,FRY,1,-30.67,-0.66,42.86,1.27
2024,August,CBOM,FRY,2,-29.96,-0.33,39.81,1.59
2024,August,CBOM,FRY,3,-30.57,-0.11,37.94,1.43
2023,October,CBOM,RIC,1,-30.4,0.52,44.1,1.05
2023,October,CBOM,RIC,2,-29.54,-0.27,41.8,0.95
2023,October,CBOM,RIC,3,-29.15,0.25,43.41,1.26
2024,February ,CBOM,RIC,1,-29.67,-0.63,42.7,0.87
2024,February ,CBOM,RIC,2,-30.21,-0.66,40.08,1
2024,February ,CBOM,RIC,3,-29.68,-0.13,38.08,1.19
2024,May,CBOM,RIC,1,-30.22,1.41,34.46,1.02
2024,May,CBOM,RIC,2,-30.04,1.55,28.71,1.1
2024,May,CBOM,RIC,3,-29.63,1.04,17.27,0.85
2024,August,CBOM,RIC,1,-27.5,0.97,32.08,0.87
2024,August,CBOM,RIC,1,-28.84,1.34,40.47,0.84
2024,August,CBOM,RIC,2,-31.94,0.15,42.03,0.91
2024,August,CBOM,RIC,3,-30.27,1.38,31.36,1.06
