Year,Month,Sample_Type,Site,Replicate,d13C,d15N ,wt% C,wt% N
2023,October,FBOM,EAS,1,-27.85,1.53,4.26,1.53
2023,October,FBOM,EAS,2,-27.87,1.69,2.41,1.33
2024,February ,FBOM,EAS,1,-27.71,1.43,4.9,0.34
2024,February ,FBOM,EAS,2,-28.17,1.16,7.46,0.44
2024,February ,FBOM,EAS,3,-27.94,1.4,6.55,0.45
2024,May,FBOM,EAS,1,-27.935,1.075,3.35,0.455
2024,May,FBOM,EAS,2,-27.93,-0.01,6.68,0.51
2024,May,FBOM,EAS,3,-28.21,0.96,8.96,0.65
2024,August,FBOM,EAS,1,-28.31,0.4,5.02,0.58
2024,August,FBOM,EAS,2,-28.09,0.81,3.77,0.68
2024,August,FBOM,EAS,3,-28.19,0.72,4.04,0.35
2023,October,FBOM,FRY,2,-26.7,1.17,7.1,1.17
2023,October,FBOM,FRY,3,-27.11,1.01,7.06,1.01
2024,February ,FBOM,FRY,1,-26.73,1.96,4.64,0.35
2024,February ,FBOM,FRY,2,-27.36,1.8,5.06,0.4
2024,February ,FBOM,FRY,3,-27.73,1.38,6.53,0.42
2024,May,FBOM,FRY,1,-25.78,1.34,3.91,0.37
2024,May,FBOM,FRY,2,-25.87,0.46,5.25,0.41
2024,May,FBOM,FRY,3,-26.95,0.82,7.65,0.54
2024,August,FBOM,FRY,1,-25.31,1.43,4.23,0.39
2024,August,FBOM,FRY,2,-26.25,2.1,4.82,0.36
2024,August,FBOM,FRY,3,-26.71,0.76,7.72,0.6
2023,October,FBOM,RIC,1,-25.33,2.72,5.88,2.72
2023,October,FBOM,RIC,2,-26.21,2.48,3.72,2.48
2023,October,FBOM,RIC,3,-26.14,3.03,4.95,3.03
2024,February ,FBOM,RIC,1,-27.58,2.83,2.83,0.27
2024,February ,FBOM,RIC,2,-26.98,3.08,4.42,0.3
2024,February ,FBOM,RIC,3,-26.45,3.26,3.65,0.25
2024,May,FBOM,RIC,1,-27.14,3.08,6.88,0.53
2024,May,FBOM,RIC,2,-28.22,2.09,9.18,0.37
2024,May,FBOM,RIC,3,-26.4,2.66,3.48,0.32
2024,August,FBOM,RIC,1,-27.51,2.41,7.36,0.59
2024,August,FBOM,RIC,2,-26.45,2.64,3.89,0.42
2024,August,FBOM,RIC,3,-27.65,2.73,7.57,0.42
