"Site","SC.Category","SC.Level","Sample.Date","Sample.Month","Fraction","Replicate","Genus","Length","Abundance","Biomass.mg","Density","Biomass.g","Biomass.Area.Corrected","FFG"
"EAS","REF","25","9/19/23","September","> 1",1,"Alloperla",3,1,0.123614662469644,10.7642626480086,0.000123614662469644,0.00133062069396818,"Collector-Gatherer"
"EAS","REF","25","9/19/23","September","> 1",1,"Antocha",5,1,0.209409630416784,10.7642626480086,0.000209409630416784,0.00225414026282868,"Collector-Gatherer"
"EAS","REF","25","9/19/23","September","> 1",1,"Cernotina",4,2,0.474353579820429,21.5285252960172,0.000474353579820429,0.0102121330424204,"Predator"
"EAS","REF","25","9/19/23","September","> 1",1,"Cernotina",5,2,0.834413698700359,21.5285252960172,0.000834413698700359,0.017963696419814,"Predator"
"EAS","REF","25","9/19/23","September","> 1",1,"Cernotina",8,1,1.37081581369276,10.7642626480086,0.00137081581369276,0.0147558214606325,"Predator"
"EAS","REF","25","9/19/23","September","> 1",1,"Chironomini",6,2,0.277479259480492,21.5285252960172,0.000277479259480492,0.0059737192568459,"Collector-Gatherer"
"EAS","REF","25","9/19/23","September","> 1",1,"Ectopria",1,1,0.0164,10.7642626480086,1.64e-05,0.000176533907427341,"Scraper - Coleoptera"
"EAS","REF","25","9/19/23","September","> 1",1,"Gomphus",7,1,19.2105126027227,10.7642626480086,0.0192105126027227,0.206787003258587,"Predator"
"EAS","REF","25","9/19/23","September","> 1",1,"Isoperla",4,1,0.398359755322294,10.7642626480086,0.000398359755322294,0.00428804903468562,"Predator"
"EAS","REF","25","9/19/23","September","> 1",1,"Paracapnia",1,1,0.004,10.7642626480086,4e-06,4.30570505920344e-05,"Shredder"
"EAS","REF","25","9/19/23","September","> 1",1,"Paracapnia",2,3,0.0672733175558758,32.2927879440258,6.72733175558758e-05,0.00217244297812301,"Shredder"
"EAS","REF","25","9/19/23","September","> 1",1,"Paraleptophlebia",3,2,0.18752251264179,21.5285252960172,0.00018752251264179,0.00403708315698149,"Collector-Gatherer"
"EAS","REF","25","9/19/23","September","> 1",1,"Rhagovelia",3,3,0.526217238855271,32.2927879440258,0.000526217238855271,0.016993021706844,"Predator"
"EAS","REF","25","9/19/23","September","> 1",1,"Stenelmis",2,4,0.249429409931068,43.0570505920345,0.000249429409931068,0.0107396947225433,"Scraper - Coleoptera"
"EAS","REF","25","9/19/23","September","> 1",1,"Stenelmis",3,1,0.171141330124412,10.7642626480086,0.000171141330124412,0.00184221022738872,"Scraper - Coleoptera"
"EAS","REF","25","9/19/23","September","> 1",1,"Stenonema",5,1,0.862413410164201,10.7642626480086,0.000862413410164201,0.00928324445817224,"Scraper"
"EAS","REF","25","9/19/23","September","> 1",1,"Tanypodinae",5,1,0.00380367129076942,10.7642626480086,3.80367129076942e-06,4.0943716800532e-05,"Predator"
